Ashneer Amount Invested,Ashneer Equity Taken %,Namita Amount Invested,Namita Equity Taken %,Anupam Amount Invested,Anupam Equity Taken %,Vineeta Amount Invested,Vineeta Equity Taken %,Aman Amount Invested,Aman Equity Taken %,Peyush Amount Invested,Peyush Equity Taken %
25,5.333333333,0,0,0,0,25,5.33,25,5.33,NA,NA
20,25,0,0,0,0,20,25,0,0,NA,NA
0,0,0,0,12.5,15,12.5,15,0,0,NA,NA
70,2.75,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,75,6,NA,NA
0,0,0,0,0,0,50,15,0,0,NA,NA
0,0,0,0,25,12.5,25,12.5,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,37.5,3.75,0,0,0,0,37.5,3.75,NA,NA
0,0,0,0,50,0.75,0,0,50,0.75,NA,NA
0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,NA,NA
20,3,20,3,20,3,20,3,20,3,NA,NA
0,0,50,20,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,NA,NA
50,2,0,0,0,0,0,0,50,2,NA,NA
0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,NA,NA
25,1.25,0,0,0,0,NA,NA,25,1.25,0,0
0,0,0,0,28,16.66,NA,NA,0,0,28,16.66
30,6,0,0,0,0,NA,NA,0,0,0,0
0,0,25,3.5,0,0,NA,NA,25,3.5,0,0
0,0,0,0,0,0,NA,NA,25,5,25,5
0,0,0,0,0,0,NA,NA,0,0,0,0
0,0,8.3,6.6,0,0,NA,NA,8.3,6.6,8.3,6.6
0,0,0,0,10,6.6,NA,NA,10,6.6,10,6.6
10,1,0,0,0,0,NA,NA,10,1,10,1
0,0,0,0,0,0,NA,NA,0,0,0,0
0,0,0,0,50,15,NA,NA,0,0,0,0
0,0,15,10,0,0,NA,NA,15,10,0,0
0,0,75,15,0,0,NA,NA,0,0,0,0
0,0,0,0,0,0,NA,NA,0,0,0,0
0,0,0,0,13.3,8,NA,NA,13.3,8,13.3,8
0,0,35,1,35,1,NA,NA,0,0,35,1
0,0,0,0,25,10,NA,NA,0,0,25,10
25,2.5,0,0,25,2.5,NA,NA,25,2.5,25,2.5
0,0,50,3,0,0,NA,NA,50,3,0,0
0,0,0,0,0,0,NA,NA,0,0,0,0
0,0,0,0,0,0,NA,NA,0,0,0,0
0,0,0,0,0,0,NA,NA,100,40,0,0
0,0,0,0,0,0,NA,NA,0,0,50,50
0,0,0,0,0,0,NA,NA,0,0,0,0
40,1.75,0,0,40,1.75,NA,NA,0,0,0,0
0,0,0,0,0,0,NA,NA,0,0,0,0
0,0,37.5,7.5,0,0,NA,NA,37.5,7.5,0,0
0,0,0,0,22.5,6,NA,NA,22.5,6,0,0
10,5,10,5,10,5,NA,NA,10,5,10,5
50,3,50,3,0,0,NA,NA,0,0,50,3
0,0,0,0,0,0,NA,NA,0,0,0,0
0,0,0,0,0,0,NA,NA,0,0,80,20
0,0,0,0,0,0,NA,NA,0,0,0,0
0,0,0,0,0,0,NA,NA,0,0,0,0
100,1,0,0,0,0,NA,NA,0,0,0,0
0,0,0,0,0,0,NA,NA,0,0,0,0
0,0,0,0,0,0,NA,NA,0,0,0,0
12.5,2.5,12.5,2.5,0,0,NA,NA,12.5,2.5,12.5,2.5
0,0,0,0,0,0,NA,NA,0,0,0,0
0,0,0,0,0,0,NA,NA,0,0,0,0
0,0,0,0,0,0,NA,NA,0,0,65,3
0,0,0,0,0,0,NA,NA,0,0,0,0
20,2,20,2,20,2,NA,NA,20,2,20,2
33.33,5,NA,NA,0,0,33.33,5,33.33,5,0,0
0,0,NA,NA,0,0,0,0,0,0,47,75
0,0,NA,NA,17.5,12,17.5,12,0,0,0,0
20,1.3,NA,NA,20,1.3,,0,0,0,20,1.3
0,0,NA,NA,0,0,0,0,0,0,0,0
0,0,NA,NA,0,0,0,0,0,0,0,0
0,0,NA,NA,0,0,0,0,0,0,0,0
0,0,NA,NA,0,0,0,0,100,10,0,0
0,0,NA,NA,0,0,0,0,0,0,0,0
0,0,NA,NA,0,0,0,0,0,0,0,0
0,0,NA,NA,0,0,0,0,0,0,0,0
NA,NA,0,0,25,17.5,0,0,NA,NA,0,0
NA,NA,0,0,0,0,0,0,NA,NA,30,40
NA,NA,0,0,0,0,0,0,NA,NA,0,0
NA,NA,0,0,50,15,0,0,NA,NA,0,0
NA,NA,20,1.2,20,1.2,20,1.2,NA,NA,20,1.2
NA,NA,0,0,0,0,0,0,NA,NA,0,0
NA,NA,0,0,0,0,0,0,NA,NA,50,50
NA,NA,0,0,0,0,0,0,NA,NA,0,0
NA,NA,65,3,0,0,0,0,NA,NA,0,0
NA,NA,0,0,0,0,0,0,NA,NA,0,0
0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,NA,NA,0,0
NA,NA,0,0,0,0,0,0,NA,NA,100,4
NA,NA,0,0,0,0,33.33,5,NA,NA,33.33,5
NA,NA,0,0,0,0,0,0,NA,NA,0,0
NA,NA,0,0,0,0,16.6,10,NA,NA,16.6,10
NA,NA,25,7,0,0,25,7,NA,NA,0,0
NA,NA,0,0,0,0,0,0,NA,NA,0,0
NA,NA,0,0,0,0,0,0,NA,NA,0,0
0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,40,3,0,0,40,3,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,NA,NA
0,0,0,0,0,0,0,0,0,0,NA,NA
